feature,importance,importance_pct,cumulative_pct,category
p_si_spin_avg,149.0,0.4604307654275208,79.75340687865025,Pitch Characteristics
p_cu_vmov_avg,149.0,0.4604307654275208,80.21383764407777,Pitch Characteristics
p_contact_pct,146.0,0.45116034733166466,80.66499799140944,Other
b_vs_LHP_pitches,143.0,0.4418899292358085,81.10688792064525,Batter vs Pitch Type
b_zone_swing_pct,143.0,0.4418899292358085,81.54877784988106,Batter Profile
b_velo_94_96_whiff_pct,143.0,0.4418899292358085,81.99066777911688,Batter Profile
b_velo_97_plus_pitches,142.0,0.4387997898705232,82.4294675689874,Batter Profile
p_ch_velo_avg,140.0,0.4326195111399524,82.86208708012735,Pitch Characteristics
b_vs_fc_whiff_pct,137.0,0.42334909304409624,83.28543617317145,Batter vs Pitch Type
b_vs_cu_whiff_pct,137.0,0.42334909304409624,83.70878526621554,Batter vs Pitch Type
p_ch_spin_avg,136.0,0.42025895367881094,84.12904421989435,Pitch Characteristics
p_si_velo_avg,135.0,0.41716881431352554,84.54621303420788,Pitch Characteristics
p_fc_whiff_pct,134.0,0.4140786749482402,84.96029170915612,Pitcher Whiff
p_fc_vmov_avg,133.0,0.4109885355829548,85.37128024473908,Pitch Characteristics
b_vs_sl_whiff_pct,130.0,0.4017181174870986,85.77299836222618,Batter vs Pitch Type
b_vs_st_whiff_pct,129.0,0.39862797812181333,86.17162634034798,Batter vs Pitch Type
b_vs_sv_xwoba,127.0,0.3924476993912425,86.56407403973922,Batter vs Pitch Type
b_vs_si_whiff_pct,126.0,0.3893575600259572,86.95343159976518,Batter vs Pitch Type
p_fc_usage_pct,125.0,0.38626742066067177,87.33969902042585,Pitch Usage
p_cu_velo_avg,125.0,0.38626742066067177,87.72596644108653,Pitch Characteristics
b_roll50_hard_hit_rate,123.0,0.38008714193010107,88.10605358301663,Batter Rolling
b_roll25_hard_hit_rate,123.0,0.38008714193010107,88.48614072494674,Batter Rolling
b_vs_ff_whiff_pct,119.0,0.36772658446895956,88.85386730941569,Batter vs Pitch Type
p_fc_velo_avg,118.0,0.3646364451036742,89.21850375451936,Pitch Characteristics
b_velo_90_93_whiff_pct,117.0,0.3615463057383888,89.58005006025775,Batter Profile
b_vs_ch_whiff_pct,115.0,0.35536602700781805,89.93541608726557,Batter vs Pitch Type
b_total_pitches,115.0,0.35536602700781805,90.29078211427338,Batter Profile
p_cu_spin_avg,114.0,0.3522758876425327,90.64305800191592,Pitch Characteristics
b_vs_RHP_whiff_pct,113.0,0.3491857482772473,90.99224375019317,Batter vs Pitch Type
matchup_RvR,111.0,0.34300546954667654,91.33524921973985,Handedness
b_vs_RHP_pitches,109.0,0.3368251908161058,91.67207441055595,Batter vs Pitch Type
p_cu_usage_pct,109.0,0.3368251908161058,92.00889960137205,Pitch Usage
p_fc_hmov_avg,107.0,0.33064491208553504,92.33954451345758,Pitch Characteristics
b_whiff_pct,105.0,0.32446463335496434,92.66400914681255,Batter Profile
p_st_usage_pct,103.0,0.3182843546243936,92.98229350143694,Pitch Usage
p_st_vmov_avg,96.0,0.2966533790673959,93.27894688050434,Pitch Characteristics
p_cu_hmov_avg,95.0,0.29356323970211057,93.57251012020645,Pitch Characteristics
p_cu_whiff_pct,95.0,0.29356323970211057,93.86607335990855,Pitcher Whiff
p_st_whiff_pct,94.0,0.2904731003368252,94.15654646024538,Pitcher Whiff
p_fc_spin_avg,93.0,0.2873829609715398,94.44392942121692,Pitch Characteristics
b_velo_94_96_pitches,88.0,0.27193226414511296,94.71586168536203,Batter Profile
stand_R,86.0,0.2657519854145422,94.98161367077657,Handedness
