batter_id,batter_name,stand,total_pitches,swing_pct,whiff_pct,contact_pct,csw_pct,zone_swing_pct,chase_pct,avg_exit_velo,max_exit_velo,avg_launch_angle,xwoba,xba,barrel_pct,vs_ff_whiff_pct,vs_ff_contact_pct,vs_ff_xwoba,vs_si_whiff_pct,vs_si_contact_pct,vs_si_xwoba,vs_fc_whiff_pct,vs_fc_contact_pct,vs_fc_xwoba,vs_sl_whiff_pct,vs_sl_contact_pct,vs_sl_xwoba,vs_cu_whiff_pct,vs_cu_contact_pct,vs_cu_xwoba,vs_ch_whiff_pct,vs_ch_contact_pct,vs_ch_xwoba,vs_kc_whiff_pct,vs_kc_contact_pct,vs_kc_xwoba,vs_st_whiff_pct,vs_st_contact_pct,vs_st_xwoba,velo_90_93_pitches,velo_90_93_whiff_pct,velo_90_93_swing_pct,velo_94_96_pitches,velo_94_96_whiff_pct,velo_94_96_swing_pct,velo_97_plus_pitches,velo_97_plus_whiff_pct,velo_97_plus_swing_pct,vs_LHP_pitches,vs_LHP_whiff_pct,vs_LHP_xwoba,vs_RHP_pitches,vs_RHP_whiff_pct,vs_RHP_xwoba,vs_fs_whiff_pct,vs_fs_contact_pct,vs_fs_xwoba,vs_sv_whiff_pct,vs_sv_contact_pct,vs_sv_xwoba,vs_kn_whiff_pct,vs_kn_contact_pct,vs_kn_xwoba
405395,,R,2606,0.4827001148475971,0.20124488091314502,0.7987551190868549,0.26546537224909367,0.6261421825636967,0.35469506047304117,90.9012294686849,112.9,14.87598571946869,0.39955931039017284,0.31189864523354416,0.0364802252174426,0.11979370276147022,0.8802062972385298,0.4482863260792991,0.12609076058958016,0.8739092394104199,0.36319180490746944,0.10672303360487799,0.893276966395122,0.36807959042397986,0.30159881514891823,0.6984011848510818,0.3809877821223801,0.4015831743374623,0.5984168256625377,0.38858979486613404,0.31082365242121424,0.6891763475787858,0.3821026869278199,0.5175038114290064,0.48249618857099363,0.5540726041304722,0.20918289272266144,0.7908171072773386,0.20378977132322415,645.0,0.10565226912169089,0.4878033405385394,400.0,0.08907212683840265,0.5693222280797692,131.0,0.244296530974119,0.5998188628530572,1147.0,0.19576000923588166,0.47457862014000535,1459.0,0.20482580706696554,0.3506792018972874,,,,,,,,,
408234,,R,5058,0.4854098779139051,0.2316287634168944,0.7683712365831056,0.2701344377717561,0.6872586347955522,0.29262741752278704,89.33976501983645,112.6,7.317144642511608,0.3354217007036505,0.3043836491396273,0.015414065186583796,0.1757634561304295,0.8242365438695705,0.3797241172267519,0.10290516561972185,0.8970948343802781,0.2594854755321432,0.3045184226155202,0.6954815773844798,0.24191953894218024,0.3405263101873067,0.6594736898126933,0.3884688461599011,0.267675521569948,0.732324478430052,0.315025676792363,0.31506490376890184,0.6849350962310982,0.33616457736730426,0.341973689932167,0.658026310067833,0.2796928666397738,0.3729003301202348,0.6270996698797652,0.391925201040256,1514.0,0.15609350551856627,0.4583737442515316,884.0,0.1381509524146349,0.48256515272429207,275.0,0.21063290286514194,0.6442710280465532,1437.0,0.2033967699621075,0.325518543716749,3621.0,0.2415275681908659,0.3386224760928408,0.5616795458418867,0.43832045415811327,0.18701338264182016,,,,,,
425784,,R,286,0.504743543471054,0.369405455661218,0.6305945443387819,0.36148096962488363,0.6551915944385285,0.3199854100756141,85.0870507846678,106.5,8.613179307955917,0.36469917768796906,0.31484024364941743,0.0,0.2820760899225287,0.7179239100774713,0.4607365522994701,0.3499102785024312,0.6500897214975687,0.24033170535344048,,,,0.3753375164637527,0.6246624835362473,0.4267009793522556,,,,0.5305154009577808,0.4694845990422192,,,,,,,,91.0,0.3507256579887407,0.5875742638994659,46.0,0.3434415733191135,0.5022374684213274,,,,125.0,0.3867849146566383,0.45396025463988204,161.0,0.35605804833508736,0.30700018637738524,,,,,,,,,
425794,,R,287,0.5642984397762005,0.3048014440101599,0.6951985559898402,0.3290947374209567,0.6993746226777469,0.4281704708949854,64.05186498052164,109.8,-15.454265012634067,0.1801903764369501,0.16710419494559917,0.022228905749281123,0.19475785253635478,0.8052421474636452,0.2505545218299264,0.2167828156761903,0.7832171843238097,0.10641604526986348,,,,0.5309267759379241,0.46907322406207586,0.04729809551001828,0.39620755608380315,0.6037924439161968,,,,,,,,,,,83.0,0.16361924345784215,0.6226016317347393,48.0,0.2777901364187416,0.570391935658974,,,,68.0,0.3019802197501412,0.1075223057445696,219.0,0.30568142812527827,0.21044560517743954,,,,,,,,,
425877,,R,2693,0.5825564594537725,0.20481996798808794,0.795180032011912,0.2490823987369909,0.7538142478883687,0.405106892853643,85.38117978236764,108.2,16.55368534610772,0.30774033058824835,0.2817353226619092,0.011183813904427548,0.18180733807091404,0.818192661929086,0.35726714790901604,0.12234005729494717,0.8776599427050529,0.2426159993346965,0.2680736092237025,0.7319263907762975,0.2561795308266308,0.23859970277314016,0.7614002972268599,0.322088270385485,0.17871332136563547,0.8212866786343646,0.37457058587599684,0.25112912238456253,0.7488708776154375,0.281498918868135,0.1552913647372815,0.8447086352627184,0.27174533232422177,0.3722282855402706,0.6277717144597295,0.31460379518844916,673.0,0.17957779899755502,0.5900574229030099,505.0,0.1817843828024506,0.6279781932417925,128.0,0.2527986651529415,0.6355849286219594,521.0,0.20840407337899836,0.3192044780335428,2172.0,0.20395399377635026,0.3046144686924512,0.22108511273299689,0.7789148872670031,0.14554430676407829,,,,,,
429664,,L,382,0.5661687542481958,0.2220525929594022,0.7779474070405978,0.24039935232883874,0.7718158227196511,0.3954281222117657,87.85362670370768,112.0,5.540987763369871,0.2872019877592043,0.2716995368852946,0.014401376517723158,0.196627429913126,0.803372570086874,0.2879043766488701,0.0462294580243217,0.9537705419756783,0.26233479863449116,0.07159221066244989,0.9284077893375501,0.20638239129223798,0.2195951159276902,0.7804048840723098,0.17218579586627342,0.34206944206308737,0.6579305579369126,0.24160122880866786,0.40531147298266,0.59468852701734,0.652727416934369,,,,,,,87.0,0.16969050953119974,0.6149276980143739,68.0,0.23093218338402627,0.5139562807951247,30.0,0.12202933796555844,0.5336856391848829,,,,357.0,0.2183077819383151,0.28879826109191203,,,,,,,,,
435559,,R,1505,0.4888687473892745,0.19341210760683908,0.8065878923931609,0.24889663309504018,0.6921542721003249,0.28795204503015437,84.37302968950547,105.0,19.236613705893927,0.2688004023343277,0.2394254760703273,0.01562862604564254,0.10636601866748509,0.8936339813325149,0.2584253684681459,0.058682377921795446,0.9413176220782046,0.2807891528789105,0.15023173418794988,0.8497682658120501,0.3383583424714383,0.3757616899963988,0.6242383100036012,0.25245589109691613,0.2269631964670267,0.7730368035329733,0.10588101230055696,0.3234709410693098,0.6765290589306903,0.33029561169589566,0.25874157969554545,0.7412584203044545,0.4069404755230168,0.39276162063681325,0.6072383793631868,0.028455531895111928,392.0,0.08490338895478736,0.5047077492077099,275.0,0.10029484668421969,0.529325094010981,75.0,0.1222960966159723,0.5151921914606669,544.0,0.19790207772786325,0.26017836205128886,961.0,0.19121595541419673,0.2739033672967495,,,,,,,,,
443558,,R,4817,0.5129101523673165,0.3085850524776212,0.6914149475223788,0.3024617624712793,0.7006247777880464,0.3418451683368334,91.10728650612992,117.5,8.911963961813694,0.39299651588553136,0.3302494143655975,0.016975819116391885,0.19507766563508272,0.8049223343649172,0.4607420989254382,0.16037452766899793,0.839625472331002,0.33992128418115297,0.31524303985142477,0.6847569601485752,0.37903478319384837,0.46460468721547143,0.5353953127845286,0.39449804280127193,0.2977206860095658,0.7022793139904342,0.4352281959882732,0.4909446984871298,0.5090553015128703,0.3178940627483478,0.33883822995337987,0.6611617700466201,0.1951405884791714,0.35265380334328766,0.6473461966567123,0.2753664788886996,1167.0,0.18738809690570055,0.4791053980764154,893.0,0.19881270324269673,0.5089558621306352,269.0,0.26785678771232624,0.456460417893429,1790.0,0.2928265301080989,0.39320394205145937,3027.0,0.3215258642928077,0.39283999168252204,0.43963262760234506,0.560367372397655,0.5651021936561327,,,,,,
444482,,L,6509,0.5223500491474432,0.2444491277869375,0.7555508722130625,0.26607709967465093,0.7239778795750067,0.3311799368602476,88.64535688965887,113.8,9.800556341210735,0.35491974552990746,0.3222956752046615,0.01294533424490775,0.18893133341342158,0.8110686665865784,0.36548635518208344,0.12391885547992211,0.8760811445200779,0.3701004511398621,0.12930926793454578,0.8706907320654542,0.3524858774715814,0.40204736553209436,0.5979526344679056,0.3901756398984578,0.43978533248539975,0.5602146675146003,0.36741490406275823,0.2617775040332268,0.7382224959667731,0.3518635899132858,0.3171629256634627,0.6828370743365373,0.1988868800183725,0.1996162398554006,0.8003837601445993,0.3181855087125603,1576.0,0.14691648102613955,0.4569941537561232,1348.0,0.18950553271414158,0.5807702282092477,344.0,0.20770887977057956,0.5597542596131446,859.0,0.28819638241251583,0.34689536232550783,5650.0,0.23894470053634392,0.3556921881705229,0.46789917764921946,0.5321008223507806,0.3075480911405869,0.07550113789559454,0.9244988621044055,,,,
444489,,R,932,0.43826991885745076,0.2140703634937483,0.7859296365062517,0.2793895914214806,0.632068898570683,0.25101004371113717,85.10023813146117,109.9,17.12599244865703,0.3363376707686148,0.26143038848442185,0.054046752395734136,0.13149189918063983,0.8685081008193601,0.3661536210655355,0.07921245314225717,0.9207875468577429,0.39012289740674533,0.08741730839412835,0.9125826916058717,0.3304675751437588,0.4494464157928681,0.5505535842071319,0.2378030156821163,0.22598247293620863,0.7740175270637913,0.5910954122342581,0.29892955556096346,0.7010704444390365,0.24916373787555668,,,,0.3677743346397487,0.6322256653602514,0.28168121800641993,233.0,0.10009469719164547,0.3968429730842636,154.0,0.15003995846852064,0.46213336024176255,33.0,0.25376851763088415,0.5710558076245841,407.0,0.1693620825783557,0.3251988007052465,525.0,0.2465859994528486,0.34575853841769116,,,,,,,,,
