pitcher_id,pitcher_name,p_throws,total_pitches,primary_pitch,ff_usage_pct,si_usage_pct,si_velo_avg,si_spin_avg,si_vmov_avg,si_hmov_avg,si_whiff_pct,fc_usage_pct,sl_usage_pct,sl_velo_avg,sl_spin_avg,sl_vmov_avg,sl_hmov_avg,sl_whiff_pct,cu_usage_pct,ch_usage_pct,sv_usage_pct,fs_usage_pct,kc_usage_pct,st_usage_pct,kn_usage_pct,whiff_pct,swstr_pct,csw_pct,zone_pct,chase_pct_induced,contact_pct,f_strike_pct,ff_velo_avg,ff_spin_avg,ff_vmov_avg,ff_hmov_avg,ff_whiff_pct,fc_velo_avg,fc_spin_avg,fc_vmov_avg,fc_hmov_avg,fc_whiff_pct,cu_velo_avg,cu_spin_avg,cu_vmov_avg,cu_hmov_avg,cu_whiff_pct,ch_velo_avg,ch_spin_avg,ch_vmov_avg,ch_hmov_avg,ch_whiff_pct,st_velo_avg,st_spin_avg,st_vmov_avg,st_hmov_avg,st_whiff_pct,fs_velo_avg,fs_spin_avg,fs_vmov_avg,fs_hmov_avg,fs_whiff_pct,kc_velo_avg,kc_spin_avg,kc_vmov_avg,kc_hmov_avg,kc_whiff_pct,sv_velo_avg,sv_spin_avg,sv_vmov_avg,sv_hmov_avg,sv_whiff_pct,kn_velo_avg,kn_spin_avg,kn_vmov_avg,kn_hmov_avg,kn_whiff_pct
424144,"Pérez, Oliver",L,129,SI,0.09732372808367075,0.5530724622866326,88.62320403064051,2091.2508178932303,0.6677977840193277,1.5071810143275406,0.12983663886662147,0.0,0.3496038096296967,76.32562638542751,2199.7602353162083,-0.16245708727888897,-0.7761234151012679,0.18988065822681438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14171537754476485,0.06699094384313692,0.2800536722927795,0.56969586128394,0.3108445912832267,0.8582846224552353,0.6834498332228736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425794,"Wainwright, Adam",R,8081,CU,0.09792583825236224,0.29371127084081405,88.00754451027827,2157.05315303568,0.9780846571046048,-1.0862740293410191,0.07643883059143221,0.23349045320943201,0.0015873512450094956,,,,,,0.31424225319513194,0.054413858533018576,0.0,0.0,0.0,0.0,0.0,0.12707484525479737,0.05255057375702973,0.2567204782356881,0.4877073209635765,0.22070184593567926,0.8729251547452026,0.5689629409511835,87.31874177991764,2161.7667226602216,1.2328978397069887,-0.1329087342228669,0.08367379724252876,83.89690890279384,2343.586066697155,0.5518162181741255,0.5038995444338547,0.1555450174505246,72.56628387604272,2711.2715037631874,-1.1965613131203763,1.360668498493594,0.1547768967018061,82.03467413549812,1714.634864066138,0.6849534316478381,-1.1703487385522848,0.13950219117783788,,,,,,,,,,,,,,,,,,,,,,,,,
425844,"Greinke, Zack",R,7184,FF,0.31964234462279184,0.10776487184527435,89.72646388635938,2194.7807491676313,0.8136511117809128,-1.1955620863922554,0.047674234837385907,0.08078998408220202,0.16252739383424233,80.52020545841602,2430.0272594120897,0.24792935095841048,0.9727304420355273,0.20759850049112805,0.15387416086160235,0.17444384861504555,0.0,0.0,0.0,0.0,0.0,0.15088006006903648,0.06895783874709085,0.2470494532098896,0.48712099114932933,0.2720910068897982,0.8491199399309637,0.6664154324504037,89.26639123107964,2255.0256965312265,1.331037869954615,-0.18678197566706217,0.1205156313144887,85.49377031150179,2389.6555767151817,0.43587221502314677,0.5580115379809051,0.16486083338319346,71.97858007679339,2402.287158967555,-0.9039691242559293,0.9873997192083578,0.14360592240764955,86.45782738637097,1681.3634392441636,0.33515209590593176,-1.0806512134204032,0.20832606422918504,,,,,,,,,,,,,,,,,,,,,,,,,
429722,"Santana, Ervin",R,1063,SL,0.4407295162996547,0.0,,,,,,0.0,0.5273816016227869,84.51837876082654,2312.9434602857873,0.15420346624726028,0.36279039812363045,0.332427277981774,0.0,0.031888882077558224,0.0,0.0,0.0,0.0,0.0,0.2521388315587752,0.1242772092928679,0.2638488956789428,0.46441292009688817,0.29535035116824776,0.747861168441225,0.6127772442359377,93.41691440974526,2174.216300096513,1.162152358623572,-0.3788384887080677,0.16479370507380886,,,,,,,,,,,87.30678143206053,1667.2984223222056,1.0550237651355996,-0.6580438262173663,0.04635448576312494,,,,,,,,,,,,,,,,,,,,,,,,,
431148,"Kazmir, Scott",L,207,FF,0.5355112162742628,0.005175781631264243,,,,,,0.0,0.14800389012171683,87.15742616635886,1877.151959952983,0.6741173360176773,0.09923027271050681,0.2891789915508309,0.0,0.31130911197275635,0.0,0.0,0.0,0.0,0.0,0.18028975588890156,0.08802557667443016,0.23075007007431328,0.4712564919407549,0.26589837909926606,0.8197102441110984,0.5404270636104893,92.42539021351922,2134.0743074358966,1.3482225542791262,0.9320610091003684,0.0718651616755633,,,,,,,,,,,80.5025319240086,1482.2372414347972,0.6562147358724606,1.1189838890242867,0.3152909201920786,,,,,,,,,,,,,,,,,,,,,,,,,
433589,"Petit, Yusmeiro",R,1082,FF,0.45454159406690764,0.0,,,,,,0.21204964180401442,0.0,,,,,,0.15309583346362143,0.18000833347107806,0.0,0.0,0.0,0.0,0.0,0.18280077764990116,0.09623531929102581,0.24826204480496275,0.4851982276381253,0.3211133173337399,0.8171992223500987,0.642214600982993,87.65813027474373,2137.6511412782306,1.504245699197221,-0.41009311116271785,0.06340288202148597,84.62621006900436,2143.0970766322157,1.4324089369057955,-0.09164716146476039,0.2056119309922917,75.32865756526184,2032.481328170023,-0.015067657041396903,0.7049390768299282,0.28544825499847154,80.98698741116081,1753.0275395910817,1.2317862972654678,-0.9493283102874377,0.3078445417740793,,,,,,,,,,,,,,,,,,,,,,,,,
434378,"Verlander, Justin",R,10121,FF,0.46259245933533866,0.002378110918577108,,,,,,0.0,0.2314061907370658,87.03671023085566,2483.446646721098,0.4170230646537856,0.34719065705077734,0.3020778350158773,0.17110298080583347,0.07972384284318229,0.0,0.0,0.0,0.052796415360002805,0.0,0.21553292240206637,0.1047826605077786,0.2748100142410377,0.5010232746863815,0.2913325126058902,0.7844670775979338,0.609167469905042,94.07416352572746,2421.8331534247386,1.5755102209215652,-0.7269672357879874,0.13594798023746335,,,,,,78.32876486832635,2708.0750184161857,-1.0575933154280142,0.6017266305942082,0.27085914790875293,84.58622132582545,1757.5562754360897,0.7825639286664872,-1.1292683282463876,0.21381500952819338,80.77634160634031,2674.784909601336,-0.12179225863525081,0.9577106848166725,0.27546988799668204,,,,,,,,,,,,,,,,,,,,
434671,"Sánchez, Aníbal",R,1232,FC,0.16977614839656574,0.18361086077160352,89.09666100566118,1919.383156736836,1.1081112883266937,-1.0367422986033907,0.08231424310259321,0.28370094504592736,0.054358364620667676,82.97850803848041,2180.1424628072577,0.3619681349779994,0.42570481090079965,0.4310146429131609,0.05380624015019009,0.25474744101504565,0.0,0.0,0.0,0.0,0.0,0.18088366745111156,0.08179343456999001,0.22730513790012566,0.4545417963313863,0.2532743595933833,0.8191163325488883,0.5664259290504813,89.78853707113663,2062.179391769996,1.3858623063820967,-0.33218626605975127,0.10237377144240245,87.21868072864383,2093.834554060784,1.0246032313206188,0.03160283264393052,0.19597381302668365,75.42859262810265,1950.5350944618228,-0.24573066246754138,0.25126537086927403,0.04124385593489522,79.85582241042366,1470.3817212719284,0.6977686548032858,-1.1196645051446517,0.23701323260438087,,,,,,,,,,,,,,,,,,,,,,,,,
445213,"Kintzler, Brandon",R,510,SI,0.006301339531632391,0.7395297405868834,92.099125844435,1963.2332243903438,0.8800779378219032,-1.3307170078499033,0.1336804206711129,0.0,0.15080985346186396,85.4539280665398,2344.063042668123,0.29285949571026926,0.08443602947597045,0.35331465631563075,0.0,0.1033590664196204,0.0,0.0,0.0,0.0,0.0,0.16883778741978334,0.07862953986357916,0.25443493260744726,0.47617461207238515,0.2573212250286256,0.8311622125802166,0.5724174528179283,,,,,,,,,,,,,,,,86.90264443700961,2172.7277718199216,0.9009243833519345,-1.4167154831885063,0.1639649787206511,,,,,,,,,,,,,,,,,,,,,,,,,
445276,"Jansen, Kenley",R,4631,FC,0.0,0.08943396329826304,93.40869124979233,2303.4741791356532,1.5789337031535096,-0.6037758889507325,0.5525716541212777,0.8146628078780651,0.07865837143370652,83.44442137895945,2451.7068308796916,-0.29993933856300903,0.5584241669114398,0.2792420801795769,0.0,0.0,0.0,0.0,0.0,0.017244857389965233,0.0,0.2800794207413831,0.1516643863014609,0.30540828081136956,0.5415440455333731,0.33650250666417697,0.7199205792586167,0.6231620714757038,,,,,,92.76501189620363,2611.3625433514235,1.5241670009771435,0.2786241450337781,0.2555323718035007,,,,,,,,,,,81.83639343598254,2530.26091248909,0.17231118736438117,1.0435732785366827,0.046668580708788196,,,,,,,,,,,,,,,,,,,,
