iter	Logloss
0	0.6522050781
1	0.6184519043
2	0.5858550415
3	0.5520055542
4	0.5157944336
5	0.4938755798
6	0.4699664917
7	0.449989563
8	0.4273710937
9	0.4048340454
10	0.3856300964
11	0.3677674255
12	0.3513363953
13	0.3364772949
14	0.3216539917
15	0.3082678223
16	0.2932824707
17	0.2836744385
18	0.2722395935
19	0.2587775879
20	0.2514291687
21	0.2429017181
22	0.2338394623
23	0.2277828369
24	0.2195248108
25	0.2140950775
26	0.2097537384
27	0.2042251892
28	0.1983325043
29	0.1934753876
30	0.1875397644
31	0.1828011475
32	0.1788081665
33	0.1741853943
34	0.1710172424
35	0.1654043732
36	0.1604694214
37	0.1563687439
38	0.1544389343
39	0.1508939667
40	0.147186554
41	0.1451840515
42	0.1424210052
43	0.1397910156
44	0.1377150574
45	0.1354905853
46	0.1336178894
47	0.1317025452
48	0.1286795807
49	0.1255300751
50	0.123175766
51	0.1215742111
52	0.1199458618
53	0.1178377075
54	0.1161420746
55	0.1141914063
56	0.113463501
57	0.1123946152
58	0.1108945999
59	0.1098710327
60	0.1081567612
61	0.1071125336
62	0.10564077
63	0.1043746185
64	0.1026211472
65	0.1007691193
66	0.09933250427
67	0.09789175415
68	0.0964609375
69	0.09552158356
70	0.09412134552
71	0.09273522949
72	0.09144566345
73	0.0903210144
74	0.08969275665
75	0.08827786255
76	0.08738069916
77	0.08632579803
78	0.08551417542
79	0.08448731995
80	0.0840566864
81	0.08318135834
82	0.08239875793
83	0.08125840759
84	0.07994351196
85	0.07880171204
86	0.07809254456
87	0.07711412811
88	0.07638287354
89	0.07568096924
90	0.07507182312
91	0.07452020264
92	0.07388401031
93	0.07299404907
94	0.07223490143
95	0.07136122131
96	0.0705741272
97	0.06931965637
98	0.06860979462
99	0.06756262207
