batter_id,batter_name,stand,pitch_type,pitch_count,pct_of_pitches_seen,swing_pct,whiff_pct,contact_pct,avg_exit_velo,avg_launch_angle,xwoba,xba
575929,,R,FF,30,0.3409090909090909,0.4666666666666667,0.35714285714285715,0.6428571428571428,,,,
605141,,R,FF,34,0.4657534246575342,0.4117647058823529,0.0,1.0,91.4375,37.0,0.2879261363636364,0.2416676136363637
606192,,R,FF,37,0.4457831325301205,0.5405405405405406,0.3,0.7,,,,
623993,,L,FF,37,0.5068493150684932,0.5405405405405406,0.1,0.9,87.66666666666667,24.333333333333332,0.3859743589743589,0.2941153846153846
630105,,L,FF,39,0.46987951807228917,0.5897435897435898,0.17391304347826086,0.8260869565217391,95.65714285714284,17.428571428571427,0.5109730207872623,0.3031528084918178
641857,,L,FF,47,0.4895833333333333,0.3829787234042553,0.0,1.0,,,,
642731,,R,SI,33,0.4583333333333333,0.45454545454545453,0.0,1.0,90.62222222222223,5.222222222222222,0.3000740740740741,0.24990123456790123
643565,,L,FF,37,0.4157303370786517,0.4594594594594595,0.17647058823529413,0.8235294117647058,,,,
646240,,L,FF,45,0.5172413793103449,0.4,0.3333333333333333,0.6666666666666667,,,,
663368,,L,FF,30,0.5,0.36666666666666664,0.36363636363636365,0.6363636363636364,,,,
663624,,R,FF,42,0.45652173913043476,0.47619047619047616,0.15,0.85,96.35999999999999,21.4,0.3938,0.382
663656,,L,FF,39,0.5,0.48717948717948717,0.15789473684210525,0.8421052631578947,96.1,43.875,0.3737819548872181,0.2294459586466165
663993,,L,FF,41,0.41,0.3170731707317073,0.15384615384615385,0.8461538461538461,89.60000000000001,24.0,0.3343333333333333,0.342
665487,,R,FF,32,0.4383561643835616,0.5625,0.3333333333333333,0.6666666666666667,,,,
668939,,L,FF,42,0.525,0.5714285714285714,0.125,0.875,92.00999999999999,24.5,0.32098650793650796,0.2540880952380952
670541,,L,FF,31,0.4189189189189189,0.5161290322580645,0.0625,0.9375,83.1875,20.75,0.25695833333333334,0.233
672580,,R,SL,33,0.4342105263157895,0.42424242424242425,0.42857142857142855,0.5714285714285714,85.78,-2.4,0.31980000000000003,0.3464
676059,,R,FF,36,0.46153846153846156,0.5277777777777778,0.21052631578947367,0.7894736842105263,,,,
677800,,L,FF,51,0.5543478260869565,0.5294117647058824,0.25925925925925924,0.7407407407407407,,,,
678882,,R,FF,32,0.42105263157894735,0.6875,0.45454545454545453,0.5454545454545454,,,,
680757,,L,FF,32,0.5517241379310345,0.40625,0.0,1.0,82.3125,22.0,0.29900000000000004,0.3185
682928,,L,FF,31,0.3780487804878049,0.3870967741935484,0.08333333333333333,0.9166666666666666,87.82857142857144,-1.5714285714285714,0.543780459030459,0.40863438438438443
683002,,L,FF,47,0.4845360824742268,0.40425531914893614,0.15789473684210525,0.8421052631578947,92.27142857142859,-7.571428571428571,0.3923571428571428,0.2850982142857143
683737,,L,FF,45,0.5232558139534884,0.4,0.3888888888888889,0.6111111111111112,85.34,23.2,0.1696,0.1598
691026,,R,FF,30,0.4225352112676056,0.5,0.06666666666666667,0.9333333333333333,78.68333333333332,19.166666666666668,0.18566666666666667,0.18516666666666667
694384,,L,FF,32,0.4444444444444444,0.34375,0.0,1.0,,,,
